SentenceNumber,Chapter,Section,Kernewek,English
134,6,MiscReview,Eus! Yma traow gesys ena,There are. There are things left there.
135,6,MiscReview,Eus leow gesys y'n sinema lemmyn?,Are there places left in the cinema now?
136,6,MiscReview,"An re ma yw nowydh, dell dybav.","These are new, I think."
137,6,MiscReview,Pyth yw hemma?,What's this?
138,6,MiscReview,An dra na yw pluvenn.,That object is a pen.
139,6,MiscReview,Pyth yw hweg?,What is sweet?
140,6,MiscReview,"An aval ma yw hweg, sur.","This apple is sweet, for sure."
141,6,MiscReview,A nyns eus davas y'n pras na?,Isn't there a sheep in that field?
142,6,MiscReview,Py tus yw kernewek omma?,Which people are Cornish here?
143,6,MiscReview,"Oll an re na, dell dybav.","All of those, I think."
144,7,Review,"Pyth yw hemma, Pol?","What's this, Paul?"
145,7,Review,"Arta, mar pleg.","Again, please"
146,7,Review,An gwin ma yw Almaynek.,This wine is German.
147,7,Review,A wodhesta konvedhes Kernewek.,Do you understand Cornish?
148,7,Review,"Gonn, dell dybav.","I do, I think."
149,7,Review,Py lyver yw Kembrek?,Which book is Welsh?
150,7,Review,Hemm yw kembrek.,This is Welsh.
151,7,Review,Py lyver yw dhe les?,Which book is useful?
152,7,Review,"Hemm yw dhe les, sur.","This one is useful, certainly."
153,7,Review,An pow na yw Pow Sows.,That country is England.
154,7,Review,An stamp ma yw Iwedhonek.,This stamp is Irish
155,7,Review,Fatell yw an gewer lemmyn?,What is the weather like now?
156,7,Review,Yma awel.,There's a wind.
157,7,Review,Poeth yw an gewer lemmyn.,The weather is now very hot.
158,7,Review,"An gewer yw splann ha kosel, dell hevel.","The weather is fine and calm, it seems."
159,7,Review,Brav! Hi yw teg.,Splendid! It's fine.
160,7,Review,Ergh a wra hi yn Alban lemmyn.,It's snowing in Scotland now.
161,7,Review,Ott! An pras yw niwlek.,Look! The field is misty.
162,7,MiscReview,"Fatal genes, Mighal?","How are you, Michael?"
163,7,MiscReview,"Yn poynt da, Les, meur ras. Ha ty?","Well, Les, thanks. And you?"
164,7,MiscReview,Ogh! Da lowr. Mes yma anwoes warnav.,Oh! Well enough. But I have a cold.
165,7,MiscReview,Gwynsek yw hi an dohajydh ma.,It's windy this afternoon.
166,7,MiscReview,"Yw, sur.","It is, certainly."
167,7,MiscReview,Eus glaw?,Is there rain?
168,7,MiscReview,Eus. Hi a wra glaw lemmyn.,There is. It's raining now.
169,7,MiscReview,An karr ma yw gwerthys.,This car is sold.
170,7,MiscReview,An voes ma yw nowydh.,This table is new.
171,7,MiscReview,A nyns yw an maw ma lowen?,Isn't this boy happy?
172,7,MiscReview,"Yw, dell dybav.","He is, I think."
173,7,MiscReview,Homm yw feusik. Yma aval gesys.,This is lucky. There's an apple left.
174,7,MiscReview,Yma ostel yn unn dre yn Breten Vyghan. Ostel dha yw.,There's an hotel in a certain town in Brittany. It's a good hotel.
175,7,MiscReview,Pyth yw an drehevyans ma?,What is this building?
176,7,MiscReview,Henn yw hel an dre.,That's the town hall.
177,7,MiscReview,An brithek ma yw brav!,This mackerel is fine!
178,7,MiscReview,Duw genes lemmyn - ha meur ras!,Goodbye now - and thank you.
179,7,MiscReview,Py re yw parys lemmyn?,Which ones are ready now?
180,7,MiscReview,Honn yw Kernewes.,That is a Cornish woman.
181,7,MiscReview,Ottomma Karl! Almaynek yw.,This is Karl. He is German.
182,7,MiscReview,"Kernow ha Breten Vyghan yw parow. Sur, parow yns.","Cornwall and Brittany are equals. Certainly, equals they are."
183,7,MiscReview,"An gwyns yw skav lemmyn, dell hevel.","The wind is light now, it seems."
184,7,MiscReview,"An gador ma yw kembrek, dell dybav.","This chair is Welsh, I think."
185,7,MiscReview,A wodhowgh hwi oll konvedhes Kernewek?,Do you all understand Cornish?
186,7,MiscReview,Gonn! Gonn!,I do! I do!
187,7,MiscReview,"Sur, an eglos ma yw oer.",Certainly this church is very cold.
188,8,Review,An broder ha'n hwoer yw parow.,The brother and sister are equals.
189,8,Review,Nyns yw an vamm ha'n vyrgh parow.,The mother and daughter are not equals.
190,8,Review,An vodrep yw koth.,The aunt is old.
191,8,Review,Yma anwoes war an vamm-wynn.,The grandmother has a cold.
192,8,Review,"An tas, an ewnter ha'n mab oll yw gorow.","Father, uncle and son are all male."
193,8,Review,"An vamm, an vyrgh ha'n vodrep oll yw benow.","Mother, daughter and aunt are all female."
194,8,Review,A nyns yw an hweger lowen namoy?,Isn't mother-in-law happy any more?
195,8,Review,An vowes yw yowynk.,The girl is young.
196,8,Review,An byskadoryon yw parys lemmyn.,The fishermen are ready now.
197,8,Review,"An diogyon na yw feusik, dell dybav.","Those farmers are lucky, I think."
198,8,Review,Yma an dioges yn le'ti lemmyn.,The farmwife is in the dairy now.
199,8,Review,A nyns eus ke ryb an koes? Nag eus!,Isn't there a hedge by the wood? No!
200,8,MiscReview,An jynn-skrifa na yw koth mes da.,That typewriter is old but good.
201,8,MiscReview,Yma neppyth nowydh y'n dre lemmyn. Henn yw bryntin!,There's something new in the town now. That's splendid!
202,8,MiscReview,Nyns eus pluvennow gesys namoy.,There are no pens left any more.
203,8,MiscReview,A wodhesta konvedhes hemma?,Do you understand this?
204,8,MiscReview,Na wonn.,I do not understand.
205,8,MiscReview,Fatell yw an gewer lemmyn?,What's the weather like now?
206,8,MiscReview,"Glyb ha kommolek, dell hevel.","Wet and cloudy, it seems."
207,8,MiscReview,Py mowes yw Karol?,Which girl is Carol?
208,8,MiscReview,Honna y'n gador-vregh.,That (one) in the armchair.
209,8,MiscReview,Py lyver yw gesys?,What book is left?
210,8,MiscReview,"Pyth yw hemma, an dra ma, yn Kernewek?","What is this, this object, in Cornish?"
211,8,MiscReview,'Gweder' yw. A wodhesta konvedhes?,It's 'gweder'. Do you understand?
212,8,MiscReview,"Gonn, meur ras.","Yes, thank you."
213,8,MiscReview,"Ottomma diwes. Gwin yw, dell dybav, ha yeyn. Bryntin!","Here's (some) drink. It's wine I think, and cold. Splendid!"
214,8,MiscReview,"Eus pluvenn genes, mar pleg? Eus!","Have you a pen, please? Yes!"
215,8,MiscReview,An gegin yw kul.,The kitchen is narrow.
216,9,Examples,"Gav dhymm mes piw yw henna, mar pleg? Mr Grace yw henna","Excuse me but who is that, please? That's Mr Grace."
217,9,Examples,"Piw yw Mr Lock ytho? Ottena! An gour ena yw Mr Lock, an gour hir na.","Who is Mr Lock then? Look! that man there is Mr. Lock, that tall man."
218,9,Review,Hemm yw aval hweg.,This is a sweet apple.
219,9,Review,"An avon Tamer yw avon vras, down.","The River Tamar is a large, deep river"
220,9,Review,Hemm yw koes bras.,This is a big wood.
221,9,Review,Pow teg yw Breten Vyghan.,A beautiful country is Brittany.
222,9,Review,Ottomma kador-vregh vyghan.,Here's a small armchair.
223,9,Review,Yma le gesys omma.,There's a place left here.
224,9,Review,Yma kador gesys ryb an voes vras.,There's a chair left beside the big table
225,9,Review,Hel an Dre yw drehevyans teg.,The town hall is a fine building.
226,9,Review,"An gour yw den da, dell dybav.","The husband is a good person, I think."
227,9,Review,A nyns yw hemma gwin almaynek? Ny wonn!,Isn't this a German wine? I don't know!
228,9,Review,Yeth dha yw Kernewek.,A good language is Cornish.
229,9,Review,"Tus dha yns, sur.","Good people they are, certainly."
230,9,Review,Kewer deg yw brav mes nyns yw an gewer teg lemmyn.,Fine weather is great but the weather isn't fine now.
231,9,Review,Gwydhelek yw yeth keltek,Irish is a Celtic language.
232,9,Review,"An voes ma ha'n lestrier na yw mebyl koth, dell hevel.","This table and that dresser are old furniture, it seems."
233,9,Review,"Lyver berr yw lyver da, dell dybav.","A short book is a good book, I think."
234,9,Review,"Eus kenter vyghan berr ena genes, mar pleg?","Is there a small, short nail there with you, please?"
235,9,Review,Tus keltek yns.,They are Celtic people.
236,9,Review,Henn yw flogh da.,That's a good child.
237,9,Review,An re na yw fleghes dha.,Those are good children.
238,9,Review,Fatell yw an karrji ytho? Splann yw!,What's the garage like then? It's fine.
239,9,Review,Py par pluvenn yw honna?,What kind of pen is that?
240,9,Review,Pluvenn-fenten yw.,It's a fountain pen.
241,9,Review,Piw yw honna? Honn yw Loveday.,Who is that? That's Loveday.
242,9,Review,Piw yw an re na ena?,Who are those (people) there?
243,9,Review,Mr ha Mrs Harrison yns.,Mr and Mrs Harrison they are.
244,9,Review,Piw yw an venyn voen ena?,Who is that slim woman there?
245,9,Review,Fiona yw. Tioges yw Fiona.,Fiona it is. A farmwife is Fiona.
246,9,Review,Piw yw an benynes koth na? Ny wonn!,Who are those old women there? I don't know!
247,9,MiscReview,"Yma anwoes war an flogh na, sur.",That child certainly has a cold.
248,9,MiscReview,Eus nebonan y'n le'ti ena?,Is there anyone in the dairy there?
249,9,MiscReview,Fatell yw an gewer an gorthugher ma?,How is the weather this evening?
250,9,MiscReview,Splann ha sygh yw hi.,Fine and dry.
251,9,MiscReview,A nyns eus yeth keltek yn Kembra?,Isn't there a Celtic language in Wales?
252,9,MiscReview,Yma avon vras ha hir yn Almayn.,"There is a large, long river in Germany."
253,9,MiscReview,An avon na yw an Rayn,That river is the Rhine.
254,9,MiscReview,"Nyns yw an ostel ma da, dell hevel.","This hotel is not good, it seems."
255,9,MiscReview,Yw an maw parys lemmyn?,Is the boy ready now?
256,9,MiscReview,Yma bleujyow byw gesys war an fordh omma.,There are live flowers left on the road here.
257,9,MiscReview,An chi a-ji dhe'n koes yw chi nowydh.,The house in the wood is a new house.
258,9,MiscReview,A nyns eus notenn verr gesys y'n gegin?,Isn't there a short note left in the kitchen?
259,9,MiscReview,"Eus gweder byghan genes, mar pleg?","Have you got a small mirror with you, please?"
260,9,MiscReview,Py avon yw homma?,What river is this?
261,9,MiscReview,An avon Tavi yw hi.,The river Tavy it is.
262,9,MiscReview,Hi a wra glaw lemmyn mes toemm yw hi.,It's raining now but it's warm.
263,9,MiscReview,"Dydh da, Charles. Fatla genes?","Hullo, Charles. How are you?"
264,9,MiscReview,"Yn poynt da, dell hevel.","Well, it seems."
265,9,MiscReview,"Sur, nyns yw an vyrgh feusik.",Certainly the daughter isn't lucky.
266,9,MiscReview,Yw an dra ma 'kador' yn kernewek?,Is this object 'kador' in Cornish?
267,9,MiscReview,"Yw, sur. Hemm yw 'kador' ha henn yw 'kador-vregh' yn kernewek.",Certainly. This is 'kador' and that is 'kador-vregh' in Cornish.
268,9,MiscReview,Tus fol yns.,They are foolish people.
269,9,MiscReview,Py yeth yw kewsys yn Kembra?,What language is spoken in Wales?
270,9,MiscReview,Kembrek yw kewsys ena ryb Sowsnek.,Welsh is spoken there beside English.
271,10,Examples,Ottena tour an eglos.,See there the church tower.
272,10,Examples,"Kemmer kres an lovan ma, mar pleg.","Take the middle of this rope, please."
273,10,Examples,Toll alhwedh daras hel an dre.,The keyhole of the town hall door.
274,10,Examples,Broder tas Kevyn.,Kevin's father's brother.
275,10,Examples,Dorn shyndys an flogh.,The child's injured hand.
276,10,Review,Mab Pol yw broder Simon,Paul's son is Simon's brother.
277,10,Review,Tour an eglos ma yw gwann.,The tower of this church is weak.
278,10,Review,Toll an daras yw hir mes kul.,The door opening is high but narrow.
279,10,Review,Gwreg an gour ma yw Kernewes dha.,This man's wife is a good Cornishwoman.
280,10,Review,Ottena - daras an karr yw shyndys.,Look there! The door of the car is damaged.
281,10,Review,Henn yw karr hwegron Jori.,That's George's father-in-law's car.
282,10,Review,Honn yw kares hweger Myrna.,That's a relation of Myrna's mother-in-law.
283,10,Review,Yma padell blos war voes an gegin.,There's a dirty pan on the kitchen table.
284,10,Review,Hel an Dre yw bras.,The town hall is large.
285,10,Review,"Kemmer dorn an maw, mar pleg.","Take the child's hand, please."
286,10,Review,A nyns yw bras an avon ha down?,Isn't the river large and deep?
287,10,Review,Kres an koes yw le kosel.,The middle of the wood is a quiet place.
288,10,Review,A nyns eus penn lovan omma?,Isn't there a rope end here?
289,10,Review,Kemmer an penn ma ytho!,Take this end then!
290,10,Review,"Pluvek an gador-vregh yw plos, dell hevel.","The armchair cushion is dirty, it seems."
291,10,Review,"Lost an ki ma yw berr, sur.","This dog's tail is short, certainly."
292,10,MiscReview,Eus moes dherow yn kres an hel?,Is there an oak table in the centre of the hall?
293,10,MiscReview,"Gorthugher da, Jenefer. Kemmer an lyver ma, mar pleg!","Good evening, Jenefer. Take this book, please!"
294,10,MiscReview,Eus anwoes war Jori? Eus!,Has George got a cold. Yes!
295,10,MiscReview,"Noy Mr Toms ha mab Mr. Rickard yw parow, dell hevel.","Mr Tom's nephew and Mr. Rickard's son are equals, it seems."
296,10,MiscReview,Py hwedhel yw gwir?,Which story is true?
297,10,MiscReview,An notenn yw parys lemmyn,The note is ready now.
298,10,MiscReview,Py drehevyans yw hel an dre.,Which building is the town hall?
299,10,MiscReview,Ottena! An drehevyans bras.,There look! The big building.
300,10,MiscReview,An maw yw shyndys mes salow yw.,The boy is hurt but he is safe.
301,10,MiscReview,"Nos dha, Roy! Nos dha, Tom!","Good night, Roy! Good night, Tom!"
302,10,MiscReview,Yma kenter vras y'n toll ma. Kenter goth yw homma sur.,There's a large nail in this hole. It's an old nail certainly.
303,10,MiscReview,Tour an eglos na yw nowydh,That church tower is new.
304,10,MiscReview,Nyns eus le gesys yn kres an dre lemmyn.,There isn't a place left in the town centre now.
305,10,MiscReview,An ki ma yw gorow.,This dog is male.
306,10,MiscReview,Yma toll down yn kres an fordh.,There is a deep hole in the centre of the road.
307,10,MiscReview,Fatell yw an gewer genes?,How is the weather with you?
308,10,MiscReview,Hi yw kommolek omma.,It's cloudy here.
309,10,MiscReview,"Yw an yeth kernewek dhe les? Yw, sur!",Is the Cornish language useful? It certainly is!
310,10,MiscReview,Pyth yw yeth Alban?,What is the language of Scotland?
311,10,MiscReview,Albanek yw kewsys ena ryb Sowsnek.,Gaelic is spoken there beside English.
312,11,Review,My yw lowen.,I am happy.
313,11,Review,Ty yw fur.,You are wise.
314,11,Review,Ev yw kloppek.,He is lame.
315,11,Review,Ev yw gwir.,It (a statement) is true.
316,11,Review,Hi yw teg.,She is pretty.
317,11,Review,Hi yw gwag.,It (a basket) is empty.
318,11,Review,Ni yw warbarth.,We are together.
319,11,Review,Hwi yw parys.,You are ready.
320,11,Review,I yw koth.,They are old.
321,11,Review,"Ev yw derow, derow kernewek.","It is oak, Cornish oak."
322,11,Review,Ty yw Kelt.,You are a Celt.
323,11,Review,I yw gesys warbarth y'n hel.,They are left together in the hall.
324,11,Review,"Ty yw tiek, dell dybav.","You are a farmer, I think."
325,11,Review,Ev yw ki fol.,He's a silly dog.
326,11,Review,"Hi yw myrgh an teylu, mowes teg yw hi.","She's the daughter of the family, she's a pretty girl."
327,11,Review,Ni yw lowen lemmyn.,We are happy now.
328,11,Review,I yw dhe les.,They are useful.
329,11,Review,Ha lemmyn hwi yw gour ha gwreg.,And now you are man and wife.
330,11,MiscReview,Pyth yw penn an hwedhel? Ny wonn.,What is the end of the story? I don't know.
331,11,MiscReview,Fatell yw an tas lemmyn?,How is father now?
332,11,MiscReview,Gwann ha kloppek hwath yw ev.,Weak and lame he is still.
333,11,MiscReview,Nyns eus anwoes war Pam namoy.,Pam hasn't got a cold now.
334,11,MiscReview,Yma kador gesys y'n hel.,There is a chair left in the hall.
335,11,MiscReview,"Hemm yw fur, dell dybav.","This is wise, I think."
336,11,MiscReview,Ottena an ostel.,There's the hotel.
337,11,MiscReview,"Kemmer an notenn, mar pleg!","Take the note, please!"
338,11,MiscReview,Py par prenn yw hemma?,What sort of wood is this?
339,11,MiscReview,An prenn ma yw derow.,This wood is oak.
340,11,MiscReview,Noy Mr Turner yw maw bras.,Mr Turner's nephew is a big boy.
341,11,MiscReview,"Nos dha, Maria, dha weles!","Good night, Mary, see you!"
342,11,MiscReview,A nyns eus fordh dha a-rag an karrji?,Isn't there a good road in front of the garage?
343,11,MiscReview,Yw hi hweger Yowann?,Is she John's mother-in-law?
344,11,MiscReview,Fatell yw an dus ena lemmyn?,How are the people there now?
345,11,MiscReview,"Brav yns hag yn poynt da, dell dybav.","They are fine and in good health, I think."
346,11,MiscReview,"Awelek yw hi, sur.",It is certainly very windy.
347,11,MiscReview,Ni yw warbarth lemmyn.,We are together now.
348,11,MiscReview,"An re ma, i yw parow, dell hevel.","These, they are equal, it seems."
349,11,MiscReview,Chi koth ha yeyn yw ev.,"An old, cold house it is."
350,12,Review,Nyns yw hi pur lowen lemmyn.,She is not very happy now.
351,12,Review,Ni yw pur doemm.,We are very warm
352,12,Review,Yma fordh pur gul ryb an pras.,There is a very narrow road beside the field.
353,12,Review,A nyns yw an chambour ma pur deg?,Isn't this bedroom very nice?
354,12,Review,An lovan ma yw re verr.,This rope is too short.
355,12,Review,I yw re voen.,They are too thin.
356,12,Review,"Gour Morwenna yw re dew, a nyns yw?","Morwenna's husband is too fat, isn't he?"
357,12,Review,An gewer yw teg lowr.,The weather is fine enough.
358,12,Review,Yw an gwin ma yeyn lowr?,Is this wine cold enough?
359,12,Review,Hemm yw hweg lowr.,This is sweet enough.
360,12,Review,Yw an karr salow lowr lemmyn?,Is the car safe enough now?
361,12,Review,"An re na yw lowr, meur ras.","Those are enough, thanks."
362,12,Review,Eus avalow lowr genes?,Have you got enough apples?
363,12,MiscReview,Kemmer hemma mar pleg!,Take this please!
364,12,MiscReview,"An bara ma yw sygh, pur sygh.","This bread is dry, very dry."
365,12,MiscReview,"Ottomma Jori. Jori yw kenderow Mark, a nyns yw gwir, Jori?","Here's George. George is Mark's cousin, isn't it true, George?"
366,12,MiscReview,"Alban yw bras, pur vras.","Scotland is large, very large."
367,12,MiscReview,Eus bara gesys? Eus! Yma ev y'n gegin.,Is there any bread left? Yes! It's in the kitchen.
368,12,MiscReview,Shyndys yw penn an ki ma mes byw yw ev hwath.,This dog's head is injured but it is alive still.
369,12,MiscReview,Tewl yw hi yn kres an koes.,It is dark in the centre of the wood.
370,12,MiscReview,Nyns yw honna da.,That is not good.
371,12,MiscReview,Yma toll y'n bluvek ma.,There's a hole in this cushion.
372,12,MiscReview,"Fatell yw an chambour? Pur dha, meur ras.","How is the bedroom? Very good, thanks."
373,12,MiscReview,"An jynn-skrifa yw plos, dell hevel.","The typewriter is dirty, it seems."
374,12,MiscReview,Py lovan yw hir lowr?,Which rope is long enough?
375,12,MiscReview,Daras an eglos yw koth.,The church door is old.
376,12,MiscReview,Yma tus a-rag hel an dre. Lost hir yw.,There are people in front of the town hall. It's a long queue.
377,12,MiscReview,"Dohajydh da, Lowena. Fatla genes lemmyn? Da lowr, meur ras.","Good afternoon, Lowena. How are you now? Well enough, thanks."
378,12,MiscReview,Glaw skav a wra hi.,It's raining lightly.
379,12,MiscReview,Yeth wir an den na yw Kernewek.,That person's true language is Cornish.
